Training mode: MMD only
Training model...
Epoch [103/200]	Time: 2.81 seconds	Total Loss: 0.863	Classifier Loss: 0.577	Transfer Loss: 0.286	Souce Domain Accuracy: 69.73%    Target Domain Accuracy: 68.36%
Epoch [104/200]	Time: 4.17 seconds	Total Loss: 0.872	Classifier Loss: 0.581	Transfer Loss: 0.292	Souce Domain Accuracy: 70.12%    Target Domain Accuracy: 68.95%
Epoch [105/200]	Time: 2.81 seconds	Total Loss: 0.855	Classifier Loss: 0.572	Transfer Loss: 0.283	Souce Domain Accuracy: 64.26%    Target Domain Accuracy: 69.92%
Epoch [106/200]	Time: 4.17 seconds	Total Loss: 0.868	Classifier Loss: 0.576	Transfer Loss: 0.292	Souce Domain Accuracy: 63.67%    Target Domain Accuracy: 66.99%
Epoch [107/200]	Time: 2.81 seconds	Total Loss: 0.835	Classifier Loss: 0.554	Transfer Loss: 0.282	Souce Domain Accuracy: 68.95%    Target Domain Accuracy: 70.51%
Epoch [108/200]	Time: 4.17 seconds	Total Loss: 0.840	Classifier Loss: 0.554	Transfer Loss: 0.287	Souce Domain Accuracy: 69.53%    Target Domain Accuracy: 66.99%
Epoch [109/200]	Time: 2.81 seconds	Total Loss: 0.861	Classifier Loss: 0.571	Transfer Loss: 0.290	Souce Domain Accuracy: 58.01%    Target Domain Accuracy: 69.34%
Epoch [110/200]	Time: 2.81 seconds	Total Loss: 0.874	Classifier Loss: 0.588	Transfer Loss: 0.286	Souce Domain Accuracy: 68.55%    Target Domain Accuracy: 68.55%
Epoch [111/200]	Time: 4.16 seconds	Total Loss: 0.832	Classifier Loss: 0.548	Transfer Loss: 0.284	Souce Domain Accuracy: 69.53%    Target Domain Accuracy: 70.51%
Epoch [112/200]	Time: 2.80 seconds	Total Loss: 0.886	Classifier Loss: 0.594	Transfer Loss: 0.292	Souce Domain Accuracy: 51.95%    Target Domain Accuracy: 68.95%
Epoch [113/200]	Time: 4.15 seconds	Total Loss: 0.904	Classifier Loss: 0.613	Transfer Loss: 0.291	Souce Domain Accuracy: 61.52%    Target Domain Accuracy: 70.51%
Epoch [114/200]	Time: 2.81 seconds	Total Loss: 0.889	Classifier Loss: 0.603	Transfer Loss: 0.285	Souce Domain Accuracy: 63.28%    Target Domain Accuracy: 70.51%
Epoch [115/200]	Time: 4.15 seconds	Total Loss: 0.842	Classifier Loss: 0.554	Transfer Loss: 0.288	Souce Domain Accuracy: 59.38%    Target Domain Accuracy: 70.12%
Epoch [116/200]	Time: 2.81 seconds	Total Loss: 0.846	Classifier Loss: 0.559	Transfer Loss: 0.287	Souce Domain Accuracy: 70.90%    Target Domain Accuracy: 68.95%
Epoch [117/200]	Time: 4.17 seconds	Total Loss: 0.875	Classifier Loss: 0.586	Transfer Loss: 0.289	Souce Domain Accuracy: 64.65%    Target Domain Accuracy: 69.92%
Epoch [118/200]	Time: 2.80 seconds	Total Loss: 0.858	Classifier Loss: 0.570	Transfer Loss: 0.288	Souce Domain Accuracy: 67.97%    Target Domain Accuracy: 67.97%
Epoch [119/200]	Time: 2.81 seconds	Total Loss: 0.840	Classifier Loss: 0.554	Transfer Loss: 0.287	Souce Domain Accuracy: 66.60%    Target Domain Accuracy: 69.34%
Epoch [120/200]	Time: 4.15 seconds	Total Loss: 0.827	Classifier Loss: 0.545	Transfer Loss: 0.283	Souce Domain Accuracy: 63.48%    Target Domain Accuracy: 70.51%
Epoch [121/200]	Time: 2.81 seconds	Total Loss: 0.832	Classifier Loss: 0.550	Transfer Loss: 0.283	Souce Domain Accuracy: 69.73%    Target Domain Accuracy: 69.14%
Epoch [122/200]	Time: 4.15 seconds	Total Loss: 0.836	Classifier Loss: 0.550	Transfer Loss: 0.286	Souce Domain Accuracy: 66.80%    Target Domain Accuracy: 70.51%
Epoch [123/200]	Time: 2.82 seconds	Total Loss: 0.834	Classifier Loss: 0.543	Transfer Loss: 0.291	Souce Domain Accuracy: 69.92%    Target Domain Accuracy: 69.14%
Epoch [124/200]	Time: 4.15 seconds	Total Loss: 0.830	Classifier Loss: 0.545	Transfer Loss: 0.285	Souce Domain Accuracy: 69.73%    Target Domain Accuracy: 69.73%
Epoch [125/200]	Time: 2.80 seconds	Total Loss: 0.819	Classifier Loss: 0.536	Transfer Loss: 0.283	Souce Domain Accuracy: 62.89%    Target Domain Accuracy: 69.34%
Epoch [126/200]	Time: 2.82 seconds	Total Loss: 0.834	Classifier Loss: 0.547	Transfer Loss: 0.287	Souce Domain Accuracy: 66.02%    Target Domain Accuracy: 70.70%
Epoch [127/200]	Time: 4.18 seconds	Total Loss: 0.817	Classifier Loss: 0.534	Transfer Loss: 0.283	Souce Domain Accuracy: 67.58%    Target Domain Accuracy: 70.90%
Epoch [128/200]	Time: 2.82 seconds	Total Loss: 0.802	Classifier Loss: 0.520	Transfer Loss: 0.282	Souce Domain Accuracy: 66.99%    Target Domain Accuracy: 70.51%
Epoch [129/200]	Time: 4.16 seconds	Total Loss: 0.823	Classifier Loss: 0.541	Transfer Loss: 0.282	Souce Domain Accuracy: 63.67%    Target Domain Accuracy: 69.14%
Epoch [130/200]	Time: 2.82 seconds	Total Loss: 0.830	Classifier Loss: 0.541	Transfer Loss: 0.289	Souce Domain Accuracy: 69.73%    Target Domain Accuracy: 69.53%
Epoch [131/200]	Time: 4.15 seconds	Total Loss: 0.878	Classifier Loss: 0.587	Transfer Loss: 0.291	Souce Domain Accuracy: 70.90%    Target Domain Accuracy: 71.29%
Epoch [132/200]	Time: 2.82 seconds	Total Loss: 0.825	Classifier Loss: 0.538	Transfer Loss: 0.287	Souce Domain Accuracy: 68.36%    Target Domain Accuracy: 69.14%
Epoch [133/200]	Time: 4.16 seconds	Total Loss: 0.799	Classifier Loss: 0.513	Transfer Loss: 0.285	Souce Domain Accuracy: 74.22%    Target Domain Accuracy: 68.75%
Epoch [134/200]	Time: 2.81 seconds	Total Loss: 0.844	Classifier Loss: 0.555	Transfer Loss: 0.289	Souce Domain Accuracy: 75.39%    Target Domain Accuracy: 67.97%
Epoch [135/200]	Time: 2.80 seconds	Total Loss: 0.824	Classifier Loss: 0.535	Transfer Loss: 0.290	Souce Domain Accuracy: 70.70%    Target Domain Accuracy: 68.75%
Epoch [136/200]	Time: 4.15 seconds	Total Loss: 0.793	Classifier Loss: 0.508	Transfer Loss: 0.284	Souce Domain Accuracy: 75.98%    Target Domain Accuracy: 69.14%
Epoch [137/200]	Time: 2.81 seconds	Total Loss: 0.807	Classifier Loss: 0.522	Transfer Loss: 0.286	Souce Domain Accuracy: 62.70%    Target Domain Accuracy: 70.51%
Epoch [138/200]	Time: 4.15 seconds	Total Loss: 0.812	Classifier Loss: 0.527	Transfer Loss: 0.285	Souce Domain Accuracy: 72.66%    Target Domain Accuracy: 68.16%
Epoch [139/200]	Time: 2.79 seconds	Total Loss: 0.815	Classifier Loss: 0.529	Transfer Loss: 0.287	Souce Domain Accuracy: 63.28%    Target Domain Accuracy: 70.90%
Epoch [140/200]	Time: 4.15 seconds	Total Loss: 0.801	Classifier Loss: 0.519	Transfer Loss: 0.282	Souce Domain Accuracy: 66.80%    Target Domain Accuracy: 72.85%
Epoch [141/200]	Time: 2.81 seconds	Total Loss: 0.784	Classifier Loss: 0.501	Transfer Loss: 0.283	Souce Domain Accuracy: 68.95%    Target Domain Accuracy: 71.09%
Epoch [142/200]	Time: 2.79 seconds	Total Loss: 0.802	Classifier Loss: 0.516	Transfer Loss: 0.286	Souce Domain Accuracy: 64.65%    Target Domain Accuracy: 71.88%
Epoch [143/200]	Time: 4.17 seconds	Total Loss: 0.837	Classifier Loss: 0.553	Transfer Loss: 0.284	Souce Domain Accuracy: 71.68%    Target Domain Accuracy: 68.36%
Epoch [144/200]	Time: 2.82 seconds	Total Loss: 0.799	Classifier Loss: 0.516	Transfer Loss: 0.283	Souce Domain Accuracy: 68.95%    Target Domain Accuracy: 70.51%
Epoch [145/200]	Time: 4.15 seconds	Total Loss: 0.787	Classifier Loss: 0.502	Transfer Loss: 0.284	Souce Domain Accuracy: 69.34%    Target Domain Accuracy: 72.46%
Epoch [146/200]	Time: 2.81 seconds	Total Loss: 0.775	Classifier Loss: 0.494	Transfer Loss: 0.281	Souce Domain Accuracy: 70.70%    Target Domain Accuracy: 71.68%
Epoch [147/200]	Time: 4.16 seconds	Total Loss: 0.765	Classifier Loss: 0.482	Transfer Loss: 0.284	Souce Domain Accuracy: 71.09%    Target Domain Accuracy: 72.07%
